Source,Target,Year,Book,Lot
Brinley Nicholson,W.A. White,1893,156,
Rev. John Mitford,Mark P. Robinson,1860,157,2640
Fountaine,Huth,1902,152,189
Huntington,Clawson,1918,159,88
Heber,Britwell,1834,160,332
Farmer,Heber,1798,160,6443
Chew,Huntington,,150,
Bridgewater,Huntington,,159,
Halliwell Phillipps,Britwell,1889,161,248
Britwell,W.A. White,1921,161,26
Huntington,English Literature from London,,150,
Britwell,Clawson,1922,160,130
Corser,Huth,1869,151,77
Gaisford,J.T. Adams,1890,153,1042
Britwell,Gaisford,1854,153,161
Evans,Frederick Perkins,1825,901,
Bridgewater,Huntington,,903,
Colin Campbell,Hagen,,911 D,
Hoe,Hagen,,911 K,
Sotheby’s,Henkels’s Shakespeare sale,1914,914,
Halliwell Phillipps,Sotheby’s,1889,914,903
M.J.Perry,Hagen,,911 M,
Charles Campbell,M.J.Perry,,911 M,
Huth,Jones,1912,913,1904
Sotheby’s,Sotheby’s,1911,914,
H.J.B.Swete,Hagen,,911 J,
Devonshire,Huntington,,902,
Jones,Clawson,1919,903,1409
Huntington,Jones,,903,
Sotheby’s,Hagen,1904,910,880
Frederick Perkins,Britwell,1889,901,1710
Thomas Barret of Lee,Colin Campbell,,911 D,
Lefferts,Hagen,1902,325,461
Lefferts,Hagen,1902,327,464
Lefferts,Hagen,1902,316,448
Lefferts,Hagen,1902,319,450
Halliwell Phillipps,Hagen,1889,329,875
Devonshire,Huntington,,323,
Kemble,Devonshire,1798,323,
Halsey,Huntington,,324,
Britwell,Clawson,1921,246,45
Octavius G. Gilchrist,Ashburnham,1824,248,
Hibbert,Britwell,1829,246,6696
E.M.Cox,Clawson,1920,245,2586
Wiper,Forman,1891,253,92
Frederick Perkins,Huth,1889,251,541
Hoe,Halsey,1911,248,
Philip Lord Hardwicke,Shakespeare Library,,252,
Waldron,Philip Lord Hardwicke,,252,
Ashburnham,Hoe,1897,248,1259
Bliss,Huth,1858,24,109
Hoe,Huntington,1912,32,112
Huntington,English Literature from London,,32,
Huth,Clawson,1911,24,392
Crossleyt,Pearson,,938,
Pearson,Jones,1916,938,277
Heber,Crossleyt,1834,938,2467
George Smith,Huth,1867,937,7234
Bindley,Hibbert,1819,942,1132
Steevens,B.A.P.,1800,943,1078
Heber,Britwell,,941,2357
Lefferts,Hagen,1902,930,1236
Heber,Britwell,1834,943,2364
Chalmers,Corser,1842,944,567
Hibbert,Daniel,1829,942,7427
Bowle,Chalmers,1790,944,10004
Corser,Huth,1870,944,742
Bright,Heber,1845,938,5239
Sykes,Heber,1824,941,360
B.A.P.,Heber,1815,943,686
Daniel,Huth,1864,942,1527
Bridgewater,Huntington,,934,
Daniel,Huth,1864,940,1529
Heber,Britwell,1836,280,376
Kemble,Devonshire,1798,282,
John Duerdin,H.B.Forman,1884,275,195
Huntington,Jones,1917,276,147
Devonshire,Huntington,,281,
Britwell,Clawson,1922,280,224
Locker,Huntington,,278,
Huntington,Jones,1917,278,144
Huntington,Clawson,1918,274,208
Titef,Huth,1874,274,871
Hoe,Huntington,1912,288,870
Huth,Huntington,1912,274,2076
Hoe,Huntington,1912,276,854
Kemble,Devonshire,1814,281,
Devonshire,Huntington,,282,
Locker,Jones,,283,
Mitford,Locker,,279,
Lefferts,Hagen,1902,176,217
Jones,Clawson,1923,167,40
Lefferts,Hagen,,178,
Heber,Britwell,1834,166,334
Lefferts,Hagen,1902,168,210
Ashburnham,Ross Winans,1897,173,1052
B.H. Bright,T.D.C. Graham,1845,167,2980
Jones,Chew,1918,171,311
Halsey,Huntington,,171,
Humphry Primatt,Halsey,,171,
George Steevens,Heber,1800,166,793
Van Antwerp,Jones,1907,167,27
Locker,Van Antwerp,,167,
Narcissus Luttrell,George Steevens,,166,
T.D.C. Graham,Locker,,167,
Huntington,Jones,1918,171,96
Britwell,Clawson,1921,166,95
H.V.Jones,Clawson,1923,180,47
Huntington,Jones,,187,
Devonshire,Collier,,181,
William Fellowes,Peter Le Neve,,183,
H.Mordaunt [?2nd Earl of Peterborough],William Fellowes,,183,
Huth,Hagen,1912,184,1590
Kemble,Devonshire,,182,
Devonshire,Huntington,,182,
Marsden J. Perry,H.V.Jones,,180,
"Charles Bruce, Viscount Ampthill",Van Antwerp,1919,183,125
Peter Le Neve,"Charles Bruce, Viscount Ampthill",1731,183,
Corser,Huth,1868,184,516
Lefferts,Poor,1902,185,239
Jo. Searlleith,H.Mordaunt [?2nd Earl of Peterborough],,183,
William Smyth,Jo. Searlleith,,183,
Collier,Locker,,181,
Devonshire,Huntington,,187,
Lefferts,Poor,1902,186,239
Kemble,Devonshire,,181,
Sotheby’s,Marsden J. Perry,1903,180,190
Poor,Huntington,1909,185,85
Huntington,Chew,1917,267,137
Britwell,Clawson,1922,264,201
,,,,
Jones,Clawson,1918,271,467
Lefferts,Hoe,,262,
Huntington,Clawson,1918,261,183
Hoe,Huntington,1912,271,847
Jones,Clawson,1918,270,420
Rowfant,,1922,269,556
Hoe,Huntington,1912,267,966
Bridgewater,Huntington,,270,
J. Fitchett Marsh,W.C. Hazlitt,1882,269,672
W.C. Hazlitt,Rowfant,,269,
Mostyn,Clawson,1919,268,89
Huntington,Jones,1918,271,207
Bridgewater,Huntington,,261,
Hoe,Huntington,1912,262,958
Huntington,Jones,1918,270,195
John Fitchett of Warrington,J. Fitchett Marsh,1838,269,
Pigott,Britwell,1847,272,100
Holgate,Britwell,1846,382-1,337
"Charles, Viscount Bruce of Ampthillt",Marquis of Ailesbury,,377,
Hagen,Clawson,1918,381,536
Crawford,White,1891,386,1277
Steevens,Crawford,1800,386,861
Locker,Hagen,,374,
Locker,Hagen,,383,
Jolley,Holgate,1843,382-1,1478
Lamport Hall,Britwell,,385,
Huth,C.L.F. Robinson,1913,384,3022
Chew,Huntington,,382-2,
Marquis of Ailesbury,Clawson,1919,377,219
Huntington,English Literature from London,,382-2,
Leeds Papers,Alfred Morrison,,MS.143,
Leeds Papers,Alfred Morrison,,MS.139,
Leeds Papers,Alfred Morrison,,MS.145,
Leeds Papers,Alfred Morrison,,MS.147,
Leeds Papers,Alfred Morrison,,MS.148,
Pepys Papers,Alfred Morrison,,MS.152,
Leeds Papers,Alfred Morrison,,MS.146,
Pepys Papers,Alfred Morrison,,MS.153,
Leeds Papers,Alfred Morrison,,MS.144,
Kemble,Devonshire,1797,132,
Heber,Britwell,1834,130,271
G.D.Smith,Clawson,1920,131,46
Arbury,G.D.Smith,1920,131,52
Britwell,R.E. Gadthorne Hardy,1923,130,121
Devonshire,Huntington,,132,
Birket Foster,Wheeler,1894,127,49
Huth,Huntington,1913,134,2802
Bindley,Heber,1818,130,1379
S.W.H.Ireland,Henkels’s Shakespeare sale,1801,921,
Devonshire,Huntington,,918,
Kemble,Devonshire,1798,920,
Kemble,Devonshire,1798,918,
Kemble,Devonshire,1797,919,
Heber,Sewall,1834,927,5631
Sewall,Shakespeare Library,1897,927,3515
T.J.McKee,S.K. Wilson,1901,915,
Halliwell,T.J.McKee,1889,915,272
Devonshire,Huntington,,919,
Wolfreston,Huth,1856,929,231
Devonshire,Huntington,,920,
Mostyn,Clawson,1919,924,318
Grafton,Gossett,1811,607,50
Gossett,Heber,1813,607,4984
Heber,Britwell,1836,607,1075
Black,Britwell,1844,1078,3582
Heber,Britwell,1834,1065,2903
Devonshire,Huntington,,1075,
Huntington,Jones,1918,1075,872
Roxburghe,Heber,1812,1075,677
Jones,Clawson,1919,1075,1662
Bright,Corser,1845,1068,
Hoe,Huntington,1912,1072,3389
Chew,Huntington,,1070,
Mostyn,Clawson,1919,1074,356
Heber,Devonshire,1834,1075,6261
Mostyn,Clawson,1919,1073,354
Huth,Clawson,1920,1068,8063
Corser,Huth,1871,1068,635
Bindley,Bright,1819,204,1624
Lefferts,Chew,,45,
Lefferts,Hagen,1901,52,
Sir Samuel Egerton Brydges,Devonshire,1831,42,493
Devonshire,Huntington,,40,
Huntington,Jones,1918,45,14
Jones,Clawson,1918,45,80
Ames,Thos. Barret Brydges Barrett,,42,
Mostyn,Clawson,1919,47,112
Kemble,Devonshire,1797,40,
Chew,Huntington,,45,
Thos. Barret Brydges Barrett,Sir Samuel Egerton Brydges,,42,
Devonshire,Huntington,,42,
Huth,Clawson,1918,838,6443
Kemble,Devonshire,1798,835,
Halsey,Huntington,,840,
Mostyn,Clawson,1919,841,293
Devonshire,Huntington,,832,
Marshall,Hoe,1890,840,1147
Kemble,Devonshire,1798,836,
Devonshire,Huntington,,836,
Yarborough,Hoe,,828,
Kemble,Devonshire,,832,
Hoe,Halsey,,840,
Kemble,Devonshire,1797,831,
Devonshire,Huntington,,831,
Devonshire,Huntington,,835,
Arbury,G.D.Smith,1920,357,100
Tite,Lefferts,1874,359,1028
Huth,Jones,1912,348,2567
Shakespeare Library,Clawson,1918,351,476
Lefferts,Hagen,1902,359,546
Leeds Papers,Alfred Morrison,,MS.137,
Sotheby’s,Alfred Morrison,1882,MS.130,20
Young,Alfred Morrison,1869,MS.128,271
Leeds Papers,Alfred Morrison,,MS.138,
Percivall Beaumont,Richard Le Gallienne,,1022,
Ratcliffe,"Hugh, grd Earl of Marchmont",1776,1026,1214
Littledale,Holmes,1820,1025,827
"Marchmont’s grandson, Hugh Scott of Harden, later Lord Polwarth.",Van Antwerp,1909,1026,64
Ashburnham,Winans,,1025,
"Hugh, grd Earl of Marchmont",Rt. Hon. Sir George Rose,,1026,
West,Ratcliffe,1773,1026,1190
Holmes,Ashburnham,1841,1025,1373
Hagen,Sotheby’s,1918,1028,1347
Lefferts,Hagen,1902,1020,1393
Lefferts,Hagen,1902,1021,1334
Rt. Hon. Sir George Rose,"Marchmont’s grandson, Hugh Scott of Harden, later Lord Polwarth.",,1026,
Halliwell Phillipps,Corser,,965,
Baron Bolland,Utterson,1840,965,2150
Stradling,Hoe,1901|1306,963,
Charles Lilburn,Hagen,,967,
Halsey,Huntington,,968,
Griswold,Purdy,,969,
Utterson,Halliwell Phillipps,1852,965,1721
Corser,Thomas Brooke,1870,965,807
Huntington,Hagen,,963,
Hoe,Huntington,1911,963,3124
Steevens,Tite,,890,
Gaisford,Britwell,1890,890,1739
Devonshire,Huntington,,900,
N.Q. Pope,Hoe,1895,895,
Wolfreston,Tite,1856,896,353
Tite,Crawford,1874,890,2760
Gaisford,Britwell,1890,891,1740
J. Dunn Gardner,Tite,1854,888,2195
Hoe,Clawson,1911,895,2974
Church,Huntington,,888,
Locker,Church,,888,
Tite,Britwell,1874,896,2775
Huntington,Clawson,1918,900,442
Crawford,Gaisford,1876,890,1034
Arbury,G.D.Smith,1920,899,297
Lord Vernon,Clawson,1918,887,466
Tite,Locker,1874,888,2752
J.E.Hodgkin,Thorn Drury,1914,MS.2k,216
Herber,Corser,1836,22,62
Hagen,Clawson,1918,22,18
Lefferts,Hagen,1902,15,18
Sotheby’s,Hagen,1900,12,
R.H. Turner,Lefferts,1888,22,265
Hoe,Jones,,14,
Ashburnham,Lefferts,1897,17,164
Lefferts,Hagen,1902,17,21
Hoe,Huntington,1912,11,
Lefferts,Hagen,1902,22,22
Cornelius Paine,Lefferts,1891,15,268
Herber,Cornelius Paine,,15,
Osterley Park,Hoe,1885,14,99
Joseph Hunter,B.H. Bright,,21,
Corser,R.H. Turner,1868,22,145
Huntington,Clawson,,11,
Huth,Clawson,1918,990,7097
Bridgewater,Huntington,,1001,
Devonshire,Huntington,,1003,
Roxburghe,Kemble,1812,1003,5943
Thomas Lloyd,Britwell,1840,988,470
Utterson,Huth,1857,991,1607
Devonshire,Huntington,,999,
Kemble,Devonshire,1814,1003,
George Daniel,Huth,,992,
Kemble,Devonshire,1798,999,
Huth,Clawson,1918,992,7099
Huntington,English Literature from London,,1001,
Lefferts,Hagen,1901,782,62
Britwell,Clawson,1920,784,133
Stanley,Sykes,1813,783,669
Jones,Clawson,1919,792,1288
Britwell,Clawson,1920,783,133
Heber,Britwell,1835,783,2761
Heber,Britwell,1835,784,2761
Park,B.A.P.No.554,,786,
Wright,Steevens,1787,792,1873
Sykes,Heber,1824,783,134
R-H.Inglis,Thorn Drury,1889,787,440
Heber,Britwell,1834,786,1725
Devonshire,Huntington,,792,
Huntington,Jones,1918,792,648
Roxburghe,Holgate,1812,790,4054
Holgate,Britwell,1846,790,633
Mostyn,Clawson,1919,789,271
B.A.P.No.554,Heber,,786,
Roxburghe,Heber,1812,792,5605
Huth,Jones,1917,791,5674
Steevens,Roxburghe,1800,792,1259
Heber,Devonshire,1834,792,4394
Heber,Britwell,1835,502,3179
W.W.E. Wynne,Ashburnham,,494,
Bridgewater,Bindley,,502,
Thomas Brooke,Lady Brooke,,494,
Ashburnham,Thomas Brooke,1897,494,1984
J.C. Williams,J-T.Snyder,1929,494,671
Lady Brooke,J.C. Williams,1913,494,304
Willet,Devonshire,1813,489,1195
West,Willet,1773,489,4091
Bindley,Heber,1818,502,2042
Edmund Ferrers,Hagen,,491,
Devonshire,Huntington,,489,
Steeves,Jones,1916,465,255
H.W. Poor,Huntington,1908,464,564
Sykes,Pittar,1824,472,1500
Huth,Jones,1913,469,3636
C.C.Jones Jr.,C.L.F. Robinson,,461,
Tyssen,Heber,1801,460,1210
Heber,Britwell,1835,460,2180
Arnold,D.F. Appleton,1901,464,159
Hibbert,J. Dunn Gardner,1829,469,3916
J. Dunn Gardner,Huth,1854,469,1060
Sykes,Hibbert,1824,469,203
John Vincent,Ralph Sheldon,1670,460,
Lefferts,Hagen,1902,468,727
Pittar,Clawson,1918,472,321
Bridgewater,Huntington,,473,
Huntington,Clawson,1918,473,420
D.F. Appleton,H.W. Poor,1903,464,250
Ralph Sheldon,Tyssen,1781,460,
Lefferts,Huntington,1902,470,730
John Tudor Frere,Lefferts,1896,468,373
Pembroke,Clawson,1920,471,232
Bowle,Chalmers,1790,946,10004
Corser,Huth,1870,946,742
White Knights,Perry,1819,952,1522
Steevens,Roxburghe,1800,952,849
Huntington,Clawson,,945,
Sykes,Britwell,1824,952,1007
Lefferts,Hoe,1902,955,1254
Roxburghe,White Knights,1812,952,3320
Hoe,Jones,1912,955,2972
Sykes,Heber,1824,947,363
Hoe,Huntington,1911,945,3080
Chalmers,Corser,1842,946,567
Chew,Huntington,,950,
Heber,Britwell,1834,947,2359
Perry,Sykes,1822,952,362
Ashburnham,Hoe,1898,945,3424
Gaisford,Adams,1890,948,1787
Thorn Drury,Steevens,1932,MS.2dd,2395
Henry Porter,Alfred Morrison,1879,MS.11C,104
Upcott,Alfred Morrison,1846,MS.35I,429
Dawson Turner,Alfred Morrison,1859,MS.35O,679
Pepys Papers,Alfred Morrison,,MS.35N,
William Upcott,Alfred Morrison,1846,MS.35P,421
Church,Huntington,,537,
Huntington,Jones,1918,540,460
Bridgewater,Huntington,,534,
Huntington,Jones,,534,
Hoe,Huntington,1912,540,1803
Corser,Huth,1870,536,4371
Jones,Clawson,1919,540,951
Locker,Hoe,,540,
Lenox ,Church,,537,
Lefferts,Hagen,,293,
Hagen,Clawson,1918,294,356
Hagen,Clawson,1918,293,360
Hoe,Huntington,1912,291,1049
Sotheby’s,Hagen,1897,296,382
Lefferts,Hoe,1902,291,404
William Collet of the Hale,Clawson,,300,
Hoe,Huntington,1912,290,1047
Hagen,Clawson,1918,299,359
Wiper,Leffe,1891,295,506
Leffe,Hagen,,295,
Hoe,Huntington,1912,314,972
Britwell,Clawson,1922,303,243
Heber,Britwell,1834,303,594
McKee,Hagen,1gor,307,2882
George Soaper,Beverly Chew,,305,
Bindley,Heber,1820,303,163
Beverly Chew,Huntington,,305,
Huntington,Hagen,1917,305,154
Hoe,Hagen,1912,306,1039
Lamport Hall,Britwell,,802,
"Charles Bruce, Viscount Ampthill",Sotheby’s,1919,796,256
Sotheby’s,Alfred Morrison,1881,MS.105D,21
Bindley,Heber,1819,794,1002
Sotheby’s,P.M.Barnard,1919,796,121
Britwell,Clawson,1920,794,243
Heber,Britwell,1835,794,2794
Sotheby’s,Alfred Morrison,1881,MS.105G,20
Farmer,Ross Winans,1798,798,7247
Halsey,Huntington,,235,
Hodgson’s,Anderson’s,1917,243,189
Lefferts,Halsey,1902,235,287
Jones,Clawson,1923,243,65
Anderson’s,Jones,1919,243,243
Mavor,Bliss,,5,
Huntington,Clawson,,7,
Corser,Kershaw,1870,1,Lot 825
Kershaw,Huth,1877,1,Lot 1387
Herber,Britwell,1834,2,
W.A.H. Martin,Britwell,1888,6,
Hoe,Huntington,,7,
Corser,Huth,1870,5,
Bliss,Corser,1858,5,
Britwell,Jones,1919,429,35
Heber,Freeling,1834,429,795
Roxburghe,Frederick Perkins,1812,422,3241
Jeffreys,Macro,,416,
Mr. Mark Cephas Tutet,J.B.Inglis,,417,
J.B.Inglis,B.H. Bright,1826,417,1498
ordonstoun,J.D.Gardner,,428,
Jones,Clawson,1918,425,693
Britwell,Clawson,1919,428,51
Macro,Heber,,416,
Hoe,Huntington,1912,423,1925
Henkels Miscellany,Clawson,1919,430,166
B.H. Bright,Corser,1845,417,5758
Britwell,Clawson,1921,416,161
Jones,Clawson,1923,429,91
Bridgewater,Huntington,,427,
Freeling,Corser,1836,425,1254
McKee,Jones,1901,425,2949
Richard Bennett,Ross Winans,1898,421,
Hoe,Huntington,1911,424,1537
Devonshire,Huntington,,418,
Kemble,Devonshire,1798,418,
Frederick Perkins,Hagen,1889,422,864
Alexander Young,Henkels Miscellany,1890,430,354
Britwell,Clawson,1922,417,685
J.D.Gardner,Britwell,1854,428,855
Archbishop Wrangham,Britwell,1843,426,1093
Heber,Britwell,1836,416,3039
Corser,Britwell,1871,417,373
Freeling,Britwell,1836,429,1250
Corser,McKee,1869,425,416
William Morris,Richard Bennett,,421,
Bridgewater,Huntington,,344,
Shakespeare Library,Jones,1918,710,622
Pearson,Viscount Birkenhead,1914,708,378
Ross Winans,Hagen,,707,
I.Baker Holroyd,Hagen,1907,717,455
Hagen,Clawson,1918,718,809
Huntington,Jones,1918,344,595
Reed,Heber,1807,1047,7208
Bridgewater,Huntington,,1034,
Halsey,Huntington,,1044,
Heber,Forman,1834,1047,2855
Devonshire,Huntington,,550,
Holgate,Britwell,1846,551,457
Huntington,English Literature from London,,554,
Jones,Clawson,1919,544,953
Mostyn,Clawson,1919,547,177
Britwell,Clawson,1921,551,112
Kemble,Devonshire,,554,
Locker,Hoe,,546,
Huntington,Chew,1917,546,238
Kemble,Devonshire,1809,543,
Kershaw,Jones,1877,545,774
Jones,Clawson,1919,550,956
R-H.Inglis,McKee,1889,557,
Huntington,Jones,1918,544,462
Devonshire,Huntington,,549,
Roxburghe,Kemble,1812,549,5222
Bridgewater,Devonshire,1802,550,129
Huntington,Jones,1918,550,467
Bridgewater,Huntington,,544,
Kemble,Devonshire,1814,549,
Devonshire,Huntington,,543,
Fillingham,Kemble,1805,543,341
Hoe,Huntington,1911,546,1900
Devonshire,Huntington,,554,
Jolley,Holgate,1844,551,826
McKee,W.A. White,1991,557,2441
Lefferts,Chew,1902,107,150
Holgate,Lefferts,1846,107,85
Herber,Britwell,1804,86-104,2476
Bridgewater,Huntington,,108,
Huntington,Clawson,1918,108,52
Chew,Huntington,,107,
Devonshire,Huntington,,85,
Hoe,Hagen,1912,79,549
Kemble,Devonshire,1798,80,
Kemble,Devonshire,1800,85,
Lamport Hall,Britwell,1893,83,
Devonshire,Huntington,,80,
Huntington,Jones,,634,
Hagen,Clawson,1918,639,778
G.Walter Steeves,Jones,,641,
Charlemont,Huth,1860,632,67
Heber,Corser,1834,636,1979
Devonshire,Huntington,,638,
Jones,Clawson,1923,634,121
Winans,Hagen,,639,
Bridgewater,Huntington,,643,
Bridgewater,Huntington,,644,
Knight,Tite,1847,631,639
Kemble,Devonshire,,634,
Kemble,Devonshire,1804,637,
Roxburghe,Heber,1812,636,5351
Britwell,Clawson,1921,636,153
Huntington,Jones,1918,644,314
Devonshire,Huntington,,634,
Devonshire,Huntington,,637,
Holgate,Britwell,1845,633,
Lefferts,Hagen,1902,635,852
Kemble,Devonshire,1797,638,
Tite,Arnold,1874,631,1911
Arnold,Hagen,1901,631,263
Lefferts,Winans,1901,639,
Huntington,Clawson,1918,643,534
Charles II,Charlemont,,632,
Huth,Clawson,1920,632,8270
Corser,Britwell,1871,636,214
Bridgewater,Huntington,,647,
Holgate,Kershaw,1846,656,
Inglis,Holgate,1826,656,64
Locker,W.A. White,,654,
John Burleigh James,Locker,,654,
Rowfant,W.A. White,,655,
Huth,Jones,1916,656,4742
Halsey,Huntington,,646,
Bridgewater,Sotheby’s,,659,
Hibbert,Britwell,1829,648,6255
Farmer,Hibbert,1798,648,6152
Sotheby’s,W.A. White,1893,659,244
H. Barrett Lennard,W.A. White,,657,
Kershaw,Huth,1877,656,
Bright,Britwell,1845,861,4531
Rhodes,Britwell,1834,862,2412
Saunders,Britwell,,864,
Rev.Henry White,Saunders,1824,864,12587
Bridgewater,Huntington,,858,
Devonshire,Huntington,,865,
Hoe,Huntington,1911,870,2961
Poor,Huntington,1909,859,927
John Tomlinson,Lefferts,,859,
Ashburnham,J.T. Adams,1898,855,3337
Lefferts,Poor,1902,859,1179
Huntington,Clawson,1918,701,335
Mostyn,Clawson,1919,706,232
Huntington,Clawson,1918,700,333
Mostyn,Clawson,1919,704,230
Mostyn,Clawson,1919,692,234
Huntington,Clawson,1918,697,334
Halsey,Huntington,1904,700,
Bridgewater,Huntington,,701,
Dent,Britwell,1827,705,1143
Hoe,Hagen,1912,696-1,2195
Kemble,Devonshire,,698,
Wright,Kemble,1787,696-2,1850
Jones,Clawson,1923,693,136
Mostyn,Clawson,1919,694,231
Hoe,Huntington,1912,697,309
Devonshire,Huntington,,698,
Wright,Kemble,1787,698,1850
Mostyn,Clawson,1919,703,241
Devonshire,Huntington,,696-2,
Kemble,Devonshire,1798,696-2,
Bridgewater,Huntington,,695,
Huntington,Clawson,1918,695,583
Pepys Papers,Alfred Morrison,,MS.41a,
Sotheby’s,Alfred Morrison,1882,MS.103a,4
Pepys Papers,Alfred Morrison,,MS.41b,
Sotheby’s,Alfred Morrison,1882,MS.104a,12
Blandford,Britwell,1819,App.2,Lot 1151
Britwell,Aldenham,1854,App.5,Lot 241
Alexander Dalrymple,Heber,1809,App.9,
Heber,Lowther Castle,1835,App.9,Lot 2808
Utterson,Britwell,1852,App.5,Lot 1137
Gaisford,Aldenham,1890,App.3,Lot 1367
Chalmers,Utterson,1842,App.5,Lot  1484
John Baynes,Richard Gough,,595,
Richard Gough,Heber,1810,595,2236
Heber,Britwell,1834,595,1391
Pembroke,Huntington,1914,594,125
Huth,Cox,1911,57,805
Cox,Clawson,1923,57,14312
Bishop Daly,Bishop Gott,1858,63,168
Forman,Jones,1920,67,780
Bishop White Kennett,George Stokes,,67,
George Stokes,Forman,,67,
Jones,Clawson,1923,67,174
Bishop Gott,Hagen,1908,63,23
Duke of Leeds,Hagen,1896,54,170
Kemble,Devonshire,1814,121,
William Cowan,P.M.Pittar,1908,114,446
P.M.Pittar,Sotheby’s,1918,114,174
Roxburghe,Kemble,1812,121,4542
Devonshire,Huntington,,121,
R.S.Turner,William Cowan,1888,114,734
Jones,Clawson,1923,223,53
Winans,Jones,,227,
Herber,Britwell,1835,219,996
Bridgewater,Huntington,,226,
Huntington,Jones,1918,226,89
Huth,Clawson,1912,228,1837
Huntington,Clawson,1918,229,156
McKee,Winans,1901,227,2837
Jones,Clawson,1918,227,374
Britwell,Clawson,1919,219,181
Fountaine,Jones,1902,223,157
Hoe,Huntington,1911,229,894
Halsey,Huntington,,222,
Jeffreys,Macro,,414,
Huth,Clawson,1918,414,6631
Earl of Essex,Nassau,,405,
Arbury,Clawson,1920,415,131
Duke of Sussex,Bierstadt,,412,
Wolfreston,Britwell,1856,407,77
Freeling,Corser,1836,413,2084
Jones,Clawson,1919,413,1470
Hoe,Huntington,1912,408,1416
Bridgewater,Huntington,,411,
Macro,Heber,,414,
Nassau,Jadis,1824,405,1694
Roxburghe,Hoe,1812,408,4982
Corser,Huth,1869,413,604
Caldecott,Britwell,1833,404,432
Heber,Corser,1836,414,3405
Corser,Huth,1870,414,291
Huth,Jones,1918,413,6880
Jadis,Britwell,1828,405,141
Locker,Hoe,,475,
Chew,Huntington,,474,
Hoe,Huntington,1912,481,718
Kemble,Devonshire,1798,476,
Tite,Huth,1874,483,1412
Kemble,Devonshire,1798,485,
Huntington,Chew,1917,486,218
Kemble,Devonshire,1798,488,
Jones,Clawson,1919,487,890
Bridgewater,Huntington,,484,
Jones,Clawson,1923,483,102
Wolfreston,Tite,1856,483,285
Huntington,Jones,,483,
Devonshire,Huntington,,485,
Huth,Huntington,1913,483,3643
Hoe,Huntington,1912,475,1492
Huntington,English Literature from London,,488,
Huntington,English Literature from London,,476,
Devonshire,Huntington,,476,
Arbury,Clawson,1921,480,169
Chew,Huntington,,487,
Huntington,Clawson,1918,484,253
Huntington,English Literature from London,,485,
Crawford,Chew,,486,
Chew,Huntington,,486,
Devonshire,Huntington,,488,
Huntington,Jones,1918,487,431
Locker,Church estate sale,,1010,
Hoe,Huntington,1912,1017.,3275
Jolley,Hoe,1844,1004,1085
Kemble,Devonshire,1798,1005,
Lefferts,Hagen,1902,1006,1310
Heber,Christie-Miller,1835,1011,3659
Ouvry,Locker,1882,1010,1568
Lefferts,Hagen,1902,1018,1331
Chalmers,Britwell,,1007,
Hoe,Huntington,1912,1004,3146
Kemble,Devonshire,1797,1009,
Hoe,Jones,1912,1014,3256
Bridgewater,Huntington,,1016,
Devonshire,Huntington,,1009,
Church estate sale,Huntington,1916,1010,1137
Devonshire,Huntington,,1005,
Hoe,W.K.Bixby,1911,880,2928
Corser,Fountaine,1871,883,404
Poor,Huntington,1909,879,934
